,artist_name,track_name,track_id,popularity
467,Brenda Lee,Rockin' Around The Christmas Tree - Single Version,73ntXYHaz545meJDF3AICU,1
468,Brenda Lee,A Marshmallow World,6Eh1XqjaOX2BVL0hVCnwb0,62
469,Brenda Lee,Silent Night - Re-Recorded Version,6fh0ZLnQw66CnuuaUzwc1P,2
470,Juice WRLD,Juice WRLD Speaks 2,2pumRJcJLkPPejrEvwLAlu,74
471,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88
472,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,85
473,Juice WRLD,Juice WRLD Speaks,1fw2lym3kCvhxbIs8UQGHk,74
474,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86
475,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
476,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1OjiYjgPZyxS0AiXiSnuYI,61
477,Juice WRLD,Wandered To LA (with Justin Bieber),5J6rTmMjF9DVIAF8G3M9n4,86
478,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86
479,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
480,Mariah Carey,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,97
481,Mariah Carey,Vision of Love,0gLQ6jhJsyYfl7PrD1RZ7X,60
482,Mariah Carey,Christmas (Baby Please Come Home),3PIDciSFdrQxSQSihim3hN,86
483,Mariah Carey,Dreamlover,6HcQZfMrw3KwGyzrKw1Pjy,61
484,Mariah Carey,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),1Ri9P0ZPrqr6h0REDRdJBd,80
485,Mariah Carey,We Belong Together,3LmvfNUQtglbTrydsdIqFU,72
486,Mariah Carey,Fantasy (feat. O.D.B.) - Bad Boy Fantasy,10uRkDT2LoYDJnzgacTXKx,39
487,Mariah Carey,Fantasy,6xkryXuiZU360Lngd4sx13,77
488,Mariah Carey,It's Like That,7zL9xrz5krsuC6qVNluQQw,58
489,Mariah Carey,O Holy Night,3B7FO3kJ5kv3mX7yiaB7sT,78
490,Juice WRLD,Juice WRLD Speaks 2,2pumRJcJLkPPejrEvwLAlu,74
491,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88
492,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,85
493,Juice WRLD,Juice WRLD Speaks,1fw2lym3kCvhxbIs8UQGHk,74
494,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86
495,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
496,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1OjiYjgPZyxS0AiXiSnuYI,61
497,Juice WRLD,Wandered To LA (with Justin Bieber),5J6rTmMjF9DVIAF8G3M9n4,86
498,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86
499,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
